Occupation,Occupation_action,Mean rating for females,Mean rating for males,P(assigned_female|responded_female),P(assigned_female|responded_male)
bank teller,Bank teller processes customer transactions and provides financial services.,3.1,2.9,0.65,0.6833333333
banker,Banker manages financial transactions and provides financial advice.,4.65,5.3,0.3916666667,0.2833333333
barber,Barber trims and styles hair for clients.,6.35,6.3,0.1083333333,0.1166666667
bartender,Bartender mixes and serves drinks to customers in a bar or restaurant.,4.75,5.4,0.375,0.2666666667
baseball player,Baseball player competes in professional games and practices to improve skills.,6.2,6.6,0.1333333333,0.06666666667
basketball player,"Basketball player dribbles, shoots, and defends on the court.",4.85,5.25,0.3583333333,0.2916666667
baton twirler,Baton twirler entertains audiences with captivating baton routines.,1.5,1.3,0.9166666667,0.95
beautician,Beautician provides beauty treatments and services to clients.,1.55,1.85,0.9083333333,0.8583333333
bell hop,Bellhop assists hotel guests with luggage and provides information about hotel amenities.,5.85,5.45,0.1916666667,0.2583333333
bellboy,Bellboy assists guests with luggage and provides concierge services.,6.45,6.65,0.09166666667,0.05833333333
biker,Biker navigates roads and trails on a motorcycle.,5.35,4.9,0.275,0.35
bingo player,Bingo player marks numbers on their game card during bingo games.,3.4,3.05,0.6,0.6583333333
bird owner,Bird owner cares for and nurtures pet birds.,3.6,3.1,0.5666666667,0.65
bookkeeper,Bookkeeper maintains financial records and balances accounts.,3,3.05,0.6666666667,0.6583333333
boss,Boss directs and coordinates activities within an organization.,5.1,5.5,0.3166666667,0.25
boutique owner,Boutique owner curates and manages a collection of unique clothing and accessories.,2,2.2,0.8333333333,0.8
bowler,Bowler rolls the ball towards the pins aiming for strikes and spares.,4.9,4.9,0.35,0.35
boxer,Boxer competes in boxing matches using precise punches and footwork.,6.4,6.1,0.1,0.15
bride,Bride walks down the aisle in a wedding ceremony.,1,1,1,1
building contractor,Building contractor supervises and manages construction projects.,5.9,5.95,0.1833333333,0.175
butcher,Butcher prepares and sells meat products for customers.,6.1,5.95,0.15,0.175
butler,Butler manages household tasks and serves guests.,6.55,6.8,0.075,0.03333333333
caddy,Caddy carries golf clubs and assists golfers on the course.,5.9,5.65,0.1833333333,0.225
cake decorator,Cake decorator designs and decorates cakes for various occasions.,2.65,2.2,0.725,0.8
camp counselor,Camp counselor organizes and leads outdoor activities for camp participants.,3.55,4.3,0.575,0.45
camper,Camper enjoys outdoor activities and connects with nature.,4.6,5.35,0.4,0.275
candy maker,Candy maker crafts various types of candies and confections.,3.8,3.8,0.5333333333,0.5333333333
car racing fan,Car racing fan enjoys watching and following car races.,4.8,5.15,0.3666666667,0.3083333333
car salesman,Car salesman demonstrates vehicle features and assists customers with purchasing decisions.,6.2,6.3,0.1333333333,0.1166666667
card player,Card player competes in various card games for entertainment or competition.,4.8,5.25,0.3666666667,0.2916666667
caregiver,Caregiver provides compassionate care and assistance to individuals in need.,2.74,2.8,0.71,0.7
carpenter,Carpenter constructs and repairs wooden structures and fixtures.,6.3,6.15,0.1166666667,0.1416666667
cashier,Cashier handles cash transactions and assists customers with purchases.,3.45,3.65,0.5916666667,0.5583333333
cat owner,Cat owner nurtures and cares for feline pets.,2.85,2.75,0.6916666667,0.7083333333
caterer,Caterer prepares and serves food for events and gatherings.,3.85,3.6,0.525,0.5666666667
celebrity,Celebrity promotes brands and attends public events.,4,3.65,0.5,0.5583333333
chair person,Chairperson leads meetings and facilitates discussions.,4.3,4.5,0.45,0.4166666667
chairman,Chairman leads board meetings and provides guidance on strategic decisions.,4.6,4.85,0.4,0.3583333333
cheerleader,Cheerleader energizes and cheers on sports teams to boost morale and spirit.,1.65,2.1,0.8916666667,0.8166666667
chef,Chef prepares and cooks food dishes in a professional kitchen.,4.55,5.4,0.4083333333,0.2666666667
chick,Chicken farmer raises and cares for chickens for eggs or meat production.,1.35,1.05,0.9416666667,0.9916666667
child,Childcare worker nurtures and cares for children in a daycare or educational setting.,4,4.1,0.5,0.4833333333
child advocate,Child advocate supports and represents the rights of children in legal proceedings and social service matters.,2.5,2.9,0.75,0.6833333333
child care worker,Child care worker nurtures and supervises children in a daycare or childcare setting.,2,2.25,0.8333333333,0.7916666667
chiropractor,Chiropractor performs manual adjustments to the spine and musculoskeletal system.,4.8,5.1,0.3666666667,0.3166666667
choreographer,Choreographer creates and coordinates dance routines.,3.1,3.25,0.65,0.625
cleaner,Cleaner maintains cleanliness and sanitization in various settings.,2.95,2.65,0.675,0.725
clerk,Clerk processes and organizes paperwork and documents.,3.8,3.75,0.5333333333,0.5416666667
client,Client interacts with customers to address their needs and provide assistance.,4.15,4.5,0.475,0.4166666667
clinical psychologist,"Clinical psychologist assesses, diagnoses, and treats mental health disorders in patients.",3.5,4.05,0.5833333333,0.4916666667
clown,Clown entertains audiences with comedic performances and tricks.,5.3,5.2,0.2833333333,0.3
coach,- Coach guides and trains athletes or sports teams.,5.4,5.95,0.2666666667,0.175
coed,- Output: `Coach educates and trains athletes in various sports techniques.`,3.95,3.7,0.5083333333,0.55
colonel,Colonel leads military units and oversees operations.,6.2,6.6,0.1333333333,0.06666666667
comedian,Comedian entertains audience through humor and storytelling.,4.95,5.35,0.3416666667,0.275
company president,Company president leads the strategic direction and decision-making of the company.,5.05,5.45,0.325,0.2583333333
composer,Composer creates musical scores and arrangements for various projects.,4.9,5.3,0.35,0.2833333333
computer programmer,Computer programmer writes and tests code for software applications.,5.2,4.8,0.3,0.3666666667
computer technician,Computer technician troubleshoots and repairs computer hardware and software issues.,5.1,5,0.3166666667,0.3333333333
concierge,Concierge assists guests with hotel accommodations and provides local recommendations.,4.26,4.55,0.4566666667,0.4083333333
congressman,Congressman drafts and votes on legislation for the government.,5.9,6.2,0.1833333333,0.1333333333
conservationist,Conservationist protects and preserves natural habitats and endangered species.,4.5,3.65,0.4166666667,0.5583333333
construction worker,Construction worker erects structures and performs manual labor on construction sites.,6.35,6.45,0.1083333333,0.09166666667
cook,Cook prepares and cooks food according to recipes and customer orders.,3.95,3.85,0.5083333333,0.525
cookie maker,Cookie maker prepares and bakes a variety of delicious cookies.,2.2,2,0.8,0.8333333333
cosmetologist,Cosmetologist provides beauty treatments such as hair styling and skincare.,1.45,1.6,0.925,0.9
counseling psychologist,Counseling psychologist provides therapy and support to individuals facing mental health challenges.,3.25,3.7,0.625,0.55
court reporter,Court reporter transcribes legal proceedings and maintains accurate records.,2.75,2.25,0.7083333333,0.7916666667
craftsman,Craftsman creates handmade items and custom furniture.,5.5,5.75,0.25,0.2083333333
criminal,Criminal investigates illegal activities and enforces the law.,5.55,5.8,0.2416666667,0.2
cult member,Cult member participates in group activities and rituals.,4.65,4.5,0.3916666667,0.4166666667
customer,Customer service representative assists clients with inquiries and resolves issues.,3.75,4.05,0.5416666667,0.4916666667
customs inspector,Customs inspector examines goods and ensures compliance with regulations.,4.75,5.25,0.375,0.2916666667
cyclist,Cyclist competes in races and events while maintaining high physical fitness.,4.85,5,0.3583333333,0.3333333333
dance instructor,Dance instructor teaches students various dance styles and techniques.,2.05,2.25,0.825,0.7916666667
dancer,Dancer performs expressive movements to convey emotions and tell stories through dance.,2.35,2.55,0.775,0.7416666667
data processor,Data processor enters and manages data for accuracy and efficiency.,3.85,3.85,0.525,0.525
deacon,Deacon provides spiritual guidance and support to the congregation.,6.1,6.45,0.15,0.09166666667
dental hygienist,Dental hygienist cleans teeth and educates patients on oral hygiene.,3.35,3.25,0.6083333333,0.625
dentist,Dentist diagnoses and treats dental issues and oral health conditions.,5.25,5.3,0.2916666667,0.2833333333
deputy,Deputy assists in managing operations and supporting leadership.,6.25,5.85,0.125,0.1916666667
dietician,Dietician provides nutritional counseling and meal planning.,2.7,2.65,0.7166666667,0.725
diplomat,Diplomat negotiates international agreements and represents their country.,4.8,5.3,0.3666666667,0.2833333333
district attorney,District attorney prosecutes criminal cases on behalf of the government.,4.8,5,0.3666666667,0.3333333333
doctor,Doctor diagnoses and treats patients' medical conditions.,4.65,4.6,0.3916666667,0.4
dog groomer,"Dog groomer styles and maintains the appearance of dogs through washing, cutting, and grooming techniques.",3.45,3.4,0.5916666667,0.6
dog owner,Dog owner cares for and trains their pet.,4,4.55,0.5,0.4083333333
drafting worker,Drafting worker creates detailed technical drawings and plans.,6,5.4,0.1666666667,0.2666666667
dress maker,Dress maker creates custom garments and clothing alterations.,2.15,1.7,0.8083333333,0.8833333333
drug addict,Drug addict struggles with dependence on substances.,4.5,4.75,0.4166666667,0.375
drug dealer,Drug dealer distributes illegal substances to customers.,5.4,5.95,0.2666666667,0.175
drummer,Drummer creates rhythms and melodies for musical performances.,5.5,5.15,0.25,0.3083333333
dude,Dude engages in casual social interactions and activities.,6.3,6.55,0.1166666667,0.075
economist,Economist analyzes data and trends to provide economic insights.,4.35,4.6,0.4416666667,0.4
editor,Editor reviews and revises written content for clarity and accuracy.,4.15,4.95,0.475,0.3416666667
electrician,Electrician installs and maintains electrical systems and wiring.,6,6,0.1666666667,0.1666666667
elementary school principal,Elementary school principal leads and manages the educational community.,4.4,4.55,0.4333333333,0.4083333333
elementary school teacher,Elementary school teacher instructs students in foundational subjects and skills.,2.3,2.2,0.7833333333,0.8
embezzler,Embezzler unlawfully diverts funds for personal gain.,5,4.95,0.3333333333,0.3416666667
emergency medical care,Emergency medical technician provides urgent medical assistance in emergencies.,4.2,4.35,0.4666666667,0.4416666667
engineer,Engineer designs and develops technical solutions to complex problems.,5.35,5.65,0.275,0.225
entertainer,Entertainer performs to entertain and engage an audience.,4.05,4.15,0.4916666667,0.475
etiquette expert,Etiquette expert guides individuals on proper social behavior and manners.,2.35,2.1,0.775,0.8166666667
executive,Executive leads strategic planning and decision-making for an organization.,4.55,5.45,0.4083333333,0.2583333333
exercise instructor,Exercise instructor leads fitness classes and provides training guidance.,2.7,2.65,0.7166666667,0.725
exotic dancer,Exotic dancer performs captivating dance routines to entertain audiences.,2.35,1.5,0.775,0.9166666667
explorer,Explorer investigates uncharted territories and discovers new landscapes.,5,5.7,0.3333333333,0.2166666667
fan,Fan operates to circulate air for ventilation and cooling.,4,4.4,0.5,0.4333333333
farmer,Farmer cultivates crops and raises livestock.,6.2,6.2,0.1333333333,0.1333333333
fashion model,Fashion model presents clothing and accessories in photoshoots and runway shows.,1.9,1.85,0.85,0.8583333333
father,Father nurtures and guides children in their development.,6.95,7,0.008333333333,0
FBI agent,FBI agent investigates and prevents federal crimes.,5.65,5.95,0.225,0.175
federal judge,Federal judge presides over court proceedings and interprets the law.,5.25,5.3,0.2916666667,0.2833333333
fellow,Fellow conducts research and contributes to academic projects.,6.85,6.55,0.025,0.075
figure skater,Figure skater performs artistic routines on ice to showcase skill and creativity.,2.25,2.15,0.7916666667,0.8083333333
file clerk,File clerk organizes and maintains filing systems for efficient record retrieval.,2.65,2.7,0.725,0.7166666667
fire fighter,Fire fighter responds to emergencies and extinguishes fires.,6,6.1,0.1666666667,0.15
fisherman,Fisherman catches and harvests fish from various water bodies.,6.05,6.25,0.1583333333,0.125
flight attendant,Flight attendant ensures passenger safety and comfort during flights.,1.9,2.15,0.85,0.8083333333
florist,Florist creates beautiful floral arrangements for various occasions.,1.95,2.15,0.8416666667,0.8083333333
flute player,Flute player performs music using the flute.,2.05,2.45,0.825,0.7583333333
football coach,Football coach develops strategies and trains athletes to improve performance.,6.75,6.95,0.04166666667,0.008333333333
football player,Football player competes in games and practices to improve skills and teamwork.,6.65,6.7,0.05833333333,0.05
foreman,Foreman supervises and coordinates the work of construction crews.,5.65,5.6,0.225,0.2333333333
forensic psychologist,Forensic psychologist evaluates psychological factors in legal cases.,4.1,4.9,0.4833333333,0.35
forest ranger,Forest ranger protects natural resources and preserves wildlife habitats.,5.55,5.7,0.2416666667,0.2166666667
forestry engineer,Forestry engineer manages forest resources and promotes sustainable practices.,2.05,2.15,0.825,0.8083333333
fortune teller,Fortune teller provides insights and predictions about the future.,2.4,2.25,0.7666666667,0.7916666667
funeral director,Funeral director manages funeral services and supports grieving families.,5.55,5.55,0.2416666667,0.2416666667
game warden,Game warden enforces wildlife regulations and protects natural resources.,6.05,6.2,0.1583333333,0.1333333333
garbage collector,Garbage collector collects and disposes of waste materials.,6.2,6.2,0.1333333333,0.1333333333
general,General manages overall operations and strategy.,6.15,6.5,0.1416666667,0.08333333333
geologist,Geologist studies the Earth's processes and materials.,5.35,4.75,0.275,0.375
golfer,Golfer competes in tournaments and plays on diverse courses.,5.7,4.6,0.2166666667,0.4
government official,Government official manages public policies and community services.,5.25,5.3,0.2916666667,0.2833333333
governor,Governor leads the administration of state policies and programs.,5.35,5.7,0.275,0.2166666667
graphic designer,"Graphic designer creates visual concepts to communicate ideas that inspire, inform, or captivate consumers.",4.2,4.35,0.4666666667,0.4416666667
groom,"Groom cares for and styles animals, particularly horses and pets.",6.9,6.7,0.01666666667,0.05
groundskeeper,Groundskeeper maintains and cares for landscaped areas and outdoor spaces.,5.1,5.85,0.3166666667,0.1916666667
guard,Guard ensures safety and security at assigned locations.,6,6.15,0.1666666667,0.1416666667
guidance counselor,Guidance counselor helps students with academic and career planning.,3.15,3.3,0.6416666667,0.6166666667
guitar player,Guitar player performs music by playing the guitar.,5.4,5.4,0.2666666667,0.2666666667
gunman,Gunman engages in armed combat or protective services.,6.3,6.4,0.1166666667,0.1
guy,"It seems that the input ""guy"" is too vague to be classified into a specific occupation recognized in job descriptions. Please provide a specific occupation or a more detailed term to work with.",6.85,6.55,0.025,0.075
gymnast,Gymnast performs acrobatic exercises and routines for competition or performance.,2.35,2.65,0.775,0.725
gynecologist,Gynecologist provides medical care and treatment related to women's reproductive health.,3.95,4.65,0.5083333333,0.3916666667
hair cutter,Hair cutter styles and trims hair for clients.,2.75,2.85,0.7083333333,0.6916666667
hairdresser,Hairdresser provides hairstyling and grooming services to clients.,2.1,1.65,0.8166666667,0.8916666667
heavy equipment operator,Heavy equipment operator operates machinery for construction and excavation tasks.,6.5,6.6,0.08333333333,0.06666666667
high school principal,High school principal leads academic programs and manages school staff.,5.15,5.15,0.3083333333,0.3083333333
high school teacher,High school teacher educates and develops curricula for students.,3.2,3,0.6333333333,0.6666666667
highway worker,Highway worker maintains and repairs roadways and traffic systems.,5.9,5.6,0.1833333333,0.2333333333
historian,Historian researches and analyzes historical events and trends.,4.3,4.45,0.45,0.425
history professor,History professor teaches historical concepts and critical thinking skills.,5.4,5.6,0.2666666667,0.2333333333
hitchhiker,Hitchhiker seeks rides for transportation.,5.7,5.55,0.2166666667,0.2416666667
homeless person,Homeless person navigates life without stable housing.,4.75,5.25,0.375,0.2916666667
homicide detective,Homicide detective investigates and solves murder cases.,5.45,5.9,0.2583333333,0.1833333333
horse trainer,Horse trainer trains and prepares horses for competitions and riding.,3.85,4,0.525,0.5
hospital orderly,Hospital orderly assists medical staff by transporting patients and equipment.,4.25,4.5,0.4583333333,0.4166666667
hotel guest,Hotel guest enjoys accommodations and services at a hospitality venue.,3.95,4.2,0.5083333333,0.4666666667
housekeeper,Housekeeper maintains cleanliness and order in residential and commercial spaces.,1.95,2.2,0.8416666667,0.8
hula dancer,Hula dancer performs traditional Hawaiian dance to tell stories through movement.,1.45,1.7,0.925,0.8833333333
humanitarian,Humanitarian provides aid and support to communities in need.,3.7,3.65,0.55,0.5583333333
humanities professor,Humanities professor teaches and conducts research in the humanities field.,4.4,4.2,0.4333333333,0.4666666667
hunter,Hunter tracks and pursues wildlife for food or sport.,6.35,6.05,0.1083333333,0.1583333333
income tax preparer,Income tax preparer assists individuals and businesses in filing their tax returns accurately.,5,4.4,0.3333333333,0.4333333333
informant,Informant provides critical information for investigations and intelligence gathering.,4.25,4.75,0.4583333333,0.375
inmate,"Inmate serves a sentence in correctional facility, adhering to rules and regulations.",5.75,5.55,0.2083333333,0.2416666667
innkeeper,Innkeeper manages guest accommodations and ensures a pleasant stay.,4,4.5,0.5,0.4166666667
insurance agent,Insurance agent assists clients in selecting appropriate insurance policies.,4.4,4.5,0.4333333333,0.4166666667
interior decorator,Interior decorator designs and plans the aesthetic of indoor spaces.,2.3,2.1,0.7833333333,0.8166666667
inventor,Inventor develops and patents innovative ideas and products.,4.85,5.1,0.3583333333,0.3166666667
jailor,Jailor supervises and maintains order within a correctional facility.,5.8,5.95,0.2,0.175
janitor,Janitor performs cleaning and maintenance duties in buildings.,5.45,5.8,0.2583333333,0.2
journalist,Journalist researches and reports on recent events or stories.,4.15,3.9,0.475,0.5166666667
judge,Judge presides over court proceedings and rules on legal matters.,4.75,4.65,0.375,0.3916666667
juggler,Juggler performs coordinated tosses and catches of objects.,5.2,5.3,0.3,0.2833333333
jurist,Jurist interprets and applies the law within a legal framework.,4.2,4.15,0.4666666667,0.475
karaoke singer,Karaoke singer performs songs in front of an audience at a bar or event.,3.6,3.9,0.5666666667,0.5166666667
kid,Kid is not a recognized occupation.,4.05,4.25,0.4916666667,0.4583333333
killer,Killer performs the act of eliminating or terminating targets.,5.55,5.85,0.2416666667,0.1916666667
kindergarten teacher,Kindergarten teacher instructs children in foundational subjects to prepare them for elementary school.,1.95,2.4,0.8416666667,0.7666666667
knitter,Knitter creates textiles by interlocking yarn in a series of connected loops.,1.85,1.8,0.8583333333,0.8666666667
lab technician,Lab technician conducts laboratory tests to assist in diagnosis and treatment of diseases.,4.68,4.35,0.3866666667,0.4416666667
labor official,Labor official negotiates on behalf of workers for better employment conditions.,5.15,5.3,0.3083333333,0.2833333333
landscaper,Landscaper designs and maintains gardens and outdoor spaces.,5.1,4.65,0.3166666667,0.3916666667
law clerk,Law clerk assists in legal research and preparing drafts of legal documents.,3.7,4.45,0.55,0.425
law professor,Law professor instructs students in law and legal studies.,4.5,4.85,0.4166666667,0.3583333333
lawyer,Lawyer provides legal advice and represents clients in court.,4.2,4.65,0.4666666667,0.3916666667
leader,Leader guides and influences a team towards achieving a common goal.,4.3,5.05,0.45,0.325
lender,Lender analyzes and approves loan applications.,4.6,4.95,0.4,0.3416666667
librarian,Librarian assists patrons in locating desired reading or research material.,2.45,2.2,0.7583333333,0.8
lieutenant,Lieutenant assists in overseeing a department's activities within the military or police force.,5.45,5.15,0.2583333333,0.3083333333
limo driver,Limo driver provides luxury transportation services to clients.,5.7,6.15,0.2166666667,0.1416666667
logger,Logger cuts and trims trees for lumber or other industrial uses.,5.7,6.15,0.2166666667,0.1416666667
magician,Magician performs magic tricks to entertain audiences.,5.65,5.85,0.225,0.1916666667
s assistant,Sales assistant helps with customer inquiries and sales transactions in a retail setting.,1.85,2,0.8583333333,0.8333333333
maid,Maid cleans and tidies up rooms in households or hotels.,1.4,1.3,0.9333333333,0.95
mailman,Mailman delivers mail and packages to residences and businesses.,5.7,5.1,0.2166666667,0.3166666667
manager,Manager oversees and coordinates the operations of a business.,4.3,5.15,0.45,0.3083333333
manicurist,Manicurist performs nail care treatments and applies nail polish.,1.8,1.3,0.8666666667,0.95
massage therapist,Massage therapist provides therapeutic massages to clients for pain relief and relaxation.,3.2,2.65,0.6333333333,0.725
mathematician,Mathematician solves complex problems using mathematical theories and techniques.,4.75,4.9,0.375,0.35
mayor,Mayor oversees city operations and implements policies.,5,5.6,0.3333333333,0.2333333333
meat packer,Meat packer prepares and packages meat products for distribution.,5.85,5.4,0.1916666667,0.2666666667
meteorologist,Meteorologist analyzes and interprets weather data.,5.35,4.95,0.275,0.3416666667
millionaire,Millionaire manages and invests personal wealth.,4.6,5.85,0.4,0.1916666667
miner,Miner extracts minerals from underground or surface mines.,6.1,6.1,0.15,0.15
motel manager,Motel manager oversees room bookings and guest services.,4.55,4.7,0.4083333333,0.3833333333
mother,Mother nurtures and cares for her children.,1.05,1,0.9916666667,1
mountain climber,Mountain climber ascends steep mountains for exploration or sport.,5.25,5.7,0.2916666667,0.2166666667
movie director,"Movie director oversees the production of a film, from scriptwriting to final editing.",5.1,5.1,0.3166666667,0.3166666667
movie star,Movie star performs roles in films for entertainment.,3.75,3.89,0.5416666667,0.5183333333
murderer,Murderer commits unlawful killing of another human.,5.15,5.45,0.3083333333,0.2583333333
nanny,Nanny cares for children in private households.,1.55,1.5,0.9083333333,0.9166666667
neighbor,Neighbor assists in maintaining a peaceful and harmonious community environment.,3.95,3.95,0.5083333333,0.5083333333
neurologist,Neurologist diagnoses and treats disorders of the nervous system.,4.85,5,0.3583333333,0.3333333333
neurosurgeon,"Neurosurgeon performs surgeries on the brain, spine and nervous system.",4.4,5.35,0.4333333333,0.275
newscaster,Newscaster presents news stories and introduces video and live reports to the viewers.,3.7,3.9,0.55,0.5166666667
notary public,Notary public authenticates and certifies signatures on legal documents.,3.5,3.42,0.5833333333,0.5966666667
novelist,Novelist crafts compelling narratives and characters in long-form written works.,3.75,3.65,0.5416666667,0.5583333333
nun,Nun dedicates her life to prayer and service to their religious community.,1.05,1.1,0.9916666667,0.9833333333
nurse,Nurse provides patient care and supports health recovery.,2.3,2.35,0.7833333333,0.775
nursing home worker,Nursing home worker provides care and assistance to elderly residents.,2.45,2.55,0.7583333333,0.7416666667
nutritionist,Nutritionist designs personalized meal plans to promote healthy eating habits.,2.55,3,0.7416666667,0.6666666667
occupational therapist,Occupational therapist helps people improve their ability to perform tasks in their daily living and working environments.,3.55,3.45,0.575,0.5916666667
oceanographer,Oceanographer studies marine environments and ecosystems.,4.1,3.9,0.4833333333,0.5166666667
orchestra conductor,Orchestra conductor directs the performance and rehearsal of an ensemble.,5.2,5.6,0.3,0.2333333333
orthodontist,Orthodontist diagnoses and treats dental malocclusions and oral cavity anomalies.,5.4,5.65,0.2666666667,0.225
painter,Painter creates artistic designs using various mediums on different surfaces.,5.05,5.25,0.325,0.2916666667
palm reader,Palm reader interprets and predicts future through the study of the palm.,2.1,2.2,0.8166666667,0.8
parachutist,"Parachutist executes precise jumps from aircraft, usually for military operations or sport.",5.4,5.05,0.2666666667,0.325
paralegal,"Paralegal assists lawyers with research, paperwork and legal procedures.",3.75,3.75,0.5416666667,0.5416666667
parent,Parent nurtures and educates children in a family setting.,3.9,3.9,0.5166666667,0.5166666667
park manager,Park manager maintains and oversees the operations of a public or private park.,5.6,5.25,0.2333333333,0.2916666667
party planner,Party planner coordinates and arranges details for special events and celebrations.,2.55,3.05,0.7416666667,0.6583333333
pastry chef,Pastry chef creates and prepares baked goods and desserts.,4.05,4.35,0.4916666667,0.4416666667
patient,Patient receives and participates in healthcare services.,4,4.15,0.5,0.475
pawn broker,Pawn broker provides loans in exchange for personal property as collateral.,5.8,5.9,0.2,0.1833333333
pediatrician,Pediatrician provides medical care for children and adolescents.,3.85,4.1,0.525,0.4833333333
person,Person is not a specific occupation. Please provide a detailed job role.,4,4.1,0.5,0.4833333333
personal trainer,Personal trainer designs and implements individualized workout plans.,4.7,4.8,0.3833333333,0.3666666667
pharmacist,Pharmacist dispenses prescription medications to patients and offers expertise in the safe use of prescriptions.,4.45,4.65,0.425,0.3916666667
philanthropist,Philanthropist donates funds to support various charitable causes.,4.5,4.1,0.4166666667,0.4833333333
phlebotomist,"Phlebotomist draws blood for tests, transfusions, donations, or research.",4.3,3.9,0.45,0.5166666667
photographer,Photographer captures and edits visual images for various mediums.,4,3.8,0.5,0.5333333333
physical therapist,Physical therapist helps diagnose and treat individuals with health-related conditions that limit their physical abilities.,3.7,4.05,0.55,0.4916666667
physician,Physician provides medical care to patients.,4.35,5.2,0.4416666667,0.3
s assistant,Sales assistant helps customers choose products and processes sales transactions.,3,3,0.6666666667,0.6666666667
physicist,Physicist conducts research to understand the nature of the universe.,4.9,4.6,0.35,0.4
piano player,"Piano player performs music using a piano, either solo performances or accompaniment to other instruments or singers.",3.15,3.5,0.6416666667,0.5833333333
pilot,Pilot navigates airplanes or helicopters for transportation and safety purposes.,5.9,5.5,0.1833333333,0.25
plumber,Plumber installs and repairs pipe systems.,6.05,6.2,0.1583333333,0.1333333333
podiatrist,Podiatrist diagnoses and treats foot disorders and injuries.,4.7,4.1,0.3833333333,0.4833333333
poet,Poet creates and shares evocative literary compositions.,3.9,3.9,0.5166666667,0.5166666667
police dispatcher,Police dispatcher coordinates emergency response and communicates critical information to officers on duty.,3.75,3.5,0.5416666667,0.5833333333
police officer,Police officer enforces laws and maintains public safety.,5.55,5.45,0.2416666667,0.2583333333
police sergeant,Police sergeant supervises and coordinates the activities of police officers.,5.75,5.9,0.2083333333,0.1833333333
policeman,Policeman maintains law and order to protect citizens and property.,5.6,5.55,0.2333333333,0.2416666667
political activist,Political activist advocates for political and social change.,4.74,4.15,0.3766666667,0.475
politician,Politician develops policies and represents constituents in governmental affairs.,5.1,5.8,0.3166666667,0.2
pool player,Pool player competes in billiards games and tournaments.,5.25,5.5,0.2916666667,0.25
postal worker,Postal worker sorts and delivers mail and packages.,4.9,4.75,0.35,0.375
priest,Priest conducts religious worship and spiritual activities.,6.8,6.45,0.03333333333,0.09166666667
